MBON,fallprop_bootstrap,fallprop_deltag,fallnumber_bootstrap,fallnumber_deltag,speed_bootstrap,speed_deltag,time_bootstrap,time_deltag,height_bootstrap,height_deltag,displacement_bootstrap,displacement_deltag,bspeed_bootstrap,bspeed_deltag,pausepos_bootstrap,pausepos_deltag,displacementbetweenpause_bootstrap,displacementbetweenpause_deltag,maxvelocity_bootstrap,maxvelocity_deltag,straightindex_bootstrap,straightindex_deltag,ascent_bootstrap,ascent_deltag,descent_bootstrap,descent_deltag,meanpause_bootstrap,meanpause_deltag,meanbout_bootstrap,meanbout_deltag,pause_bootstrap,pause_deltag,bout_bootstrap,bout_deltag
MB011B,0.13131598793363503,0.081,0.13584087481146306,0.09,-0.15337573077952402,-0.028,0.3555471919859023,0.262,0.2918557001117493,0.243,-0.15728435496946822,-0.017,0.04493480957060801,0.166,0.24587504182844672,0.201,0.1999350645730373,0.304,-0.20225546848683063,-0.242,-0.0014348278874725345,0.104,-0.12191547788032578,0.089,-0.1256780391418851,-0.051,0.2936184086272677,0.319,0.05646183388010972,0.126,-0.02954739620683649,-0.114,-0.025373443283452757,-0.095
MB011B,0.2807315233785822,0.081,0.2988310708898944,0.09,-0.07141430290629079,-0.028,0.4868642230745467,0.262,0.2153266595827702,0.243,-0.06174358979211653,-0.017,0.030214014507312835,0.166,-0.01320373635484956,0.201,0.5787651159588804,0.304,-0.3508415720354095,-0.242,0.2891569839037606,0.104,0.3849403833866552,0.089,-0.36572765983981687,-0.051,0.45642041687784984,0.319,0.2054212255179383,0.126,-0.06898316405261447,-0.114,-0.0594126800380301,-0.095
MB011B,0.13310708898944196,0.081,0.1466817496229261,0.09,-0.030336587255005643,-0.028,0.47858612093895203,0.262,0.5920113028425844,0.243,-0.11777307494682819,-0.017,0.07673499421499709,0.166,0.45231952464796604,0.201,0.18243192636521294,0.304,-0.03658210082670746,-0.242,-0.03094440977485071,0.104,0.011890024208456201,0.089,-0.166902031071383,-0.051,0.37284972964099306,0.319,0.01437331034498571,0.126,-0.03877654306984857,-0.114,-0.01823282946324619,-0.095
MB011B,0.02894042232277526,0.081,0.037990196078431376,0.09,-0.13559183554315538,-0.028,0.060150601835801835,0.262,0.17917170334922541,0.243,-0.17775299949938791,-0.017,0.1978176210127266,0.166,0.15313281556524552,0.201,0.3807802980844444,0.304,-0.46340884520147274,-0.242,0.11192935582515068,0.104,-0.011260533752046357,0.089,-0.18810311234172158,-0.051,0.37886526006528043,0.319,0.1245157853394373,0.126,-0.39106155457813124,-0.114,-0.36710612021942607,-0.095
MB011B,-0.06429110105580695,0.081,-0.08691553544494722,0.09,-0.16511003701766483,-0.028,0.1820569277079938,0.262,0.20766497096094938,0.243,-0.22067353024847028,-0.017,-0.17766773854510823,0.166,0.20704441586660488,0.201,0.1365650740107955,0.304,-0.12631946491005355,-0.242,0.39851124465648535,0.104,-0.1385013973139351,0.089,-0.18947339973356203,-0.051,0.333253623593511,0.319,0.13518388163407558,0.126,-0.24266534876801912,-0.114,-0.24832697770854553,-0.095
MB011B,0.16119909502262442,0.081,0.1747737556561086,0.09,-0.12968695262968086,-0.028,0.5539691521074804,0.262,0.39156298138770196,0.243,-0.1572534776790311,-0.017,0.2562597530900559,0.166,0.3715332786551622,0.201,0.11447578675641722,0.304,-0.26773113326656023,-0.242,0.09945781258318774,0.104,-0.020032443428452576,0.089,-0.19316277883865152,-0.051,0.32145816587127884,0.319,0.13325617945146323,0.126,-0.07818876717362869,-0.114,-0.0755657190682063,-0.095
MB011B,0.0878582202111614,0.081,0.10595776772247362,0.09,0.14724059588908314,-0.028,0.19792058487241038,0.262,0.3637287749904325,0.243,0.05081778022129151,-0.017,0.21608829637819255,0.166,0.17407726007189298,0.201,0.3318090688429251,0.304,-0.4124194244130128,-0.242,-0.28977896072597936,0.104,0.06432899674597267,0.089,0.10839946179583097,-0.051,0.247070249469951,0.319,0.07261270873843603,0.126,-0.12343983929278388,-0.114,-0.08688902253714291,-0.095
MB011B,0.09238310708898945,0.081,0.11048265460030167,0.09,0.12297354972927567,-0.028,0.1729456048345628,0.262,0.06764070430324497,0.243,-0.03283196194490985,-0.017,0.36226266830726334,0.166,0.09014968747385115,0.201,0.40403894680000996,0.304,-0.11194766504797399,-0.242,0.06299139368062423,0.104,-0.13134899574154132,0.089,0.1326557103540843,-0.051,0.2135967614460999,0.319,0.1629739897303441,0.126,-0.18948003559571394,-0.114,-0.18789751123656992,-0.095
MB011B,0.034407993966817485,0.081,0.03893288084464552,0.09,0.13492133755209973,-0.028,0.10770911018343284,0.262,0.10522241143883873,0.243,0.11274115265920248,-0.017,0.32895703444261404,0.166,-0.06782189330820455,0.201,0.33635075092020766,0.304,-0.32802067505365085,-0.242,0.3573892244173012,0.104,0.008482630443810087,0.089,0.18732462378177622,-0.051,0.21349641350779436,0.319,0.12907913731741558,0.126,-0.0436500976633266,-0.114,-0.05097797439280206,-0.095
MB011B,0.061557315233785825,0.081,0.06155731523378581,0.09,0.036730677811030406,-0.028,0.21848779113696679,0.262,0.151188200879692,0.243,-0.2284132800526829,-0.017,0.16686817218678246,0.166,0.16229886386642753,0.201,0.2407243588764547,0.304,0.014274118471010698,-0.242,0.20668953463289186,0.104,-0.0773298336481127,0.089,-0.2587690591159655,-0.051,0.2660359997052047,0.319,0.0239310311107432,0.126,-0.11213884313399429,-0.114,-0.0646814824684736,-0.095
MB011B,0.01178355957767721,0.081,0.02083333333333333,0.09,-0.0598538109913521,-0.028,0.4736589368355868,0.262,0.2836744940145749,0.243,-0.07090659953904065,-0.017,0.03794675133030778,0.166,0.29805360196334507,0.201,-0.13003656888558943,0.304,0.05737101192522118,-0.242,-0.07003395112613353,0.104,0.18273311481515486,0.089,-0.2527864157916684,-0.051,0.18459182294801765,0.319,0.014247900844265266,0.126,0.29012953263493746,-0.114,0.25509785100731724,-0.095
MB011B,0.03893288084464555,0.081,0.047982654600301655,0.09,0.07081349183844136,-0.028,0.009197891261769944,0.262,0.024429721646676925,0.243,-0.029057756897269277,-0.017,0.21553710404047557,0.166,0.2628843066188122,0.201,0.4980586942825408,0.304,-0.3073773270218797,-0.242,0.28748879562112467,0.104,-0.019959859943848184,0.089,0.03903265972961317,-0.051,0.2610122886789535,0.319,0.2240779358817638,0.126,-0.3123548250805581,-0.114,-0.32957745729380983,-0.095
MB011B,0.0434577677224736,0.081,0.05250754147812971,0.09,0.13669548390376488,-0.028,0.32353853039493585,0.262,0.005739376217940602,0.243,0.21932264030622436,-0.017,0.29308652885549125,0.166,0.26738106380539944,0.201,0.47977035670336393,0.304,-0.07672801586713257,-0.242,0.09358823867872224,0.104,0.3545507695889147,0.089,0.07368405997387123,-0.051,0.18094004015633905,0.319,0.12600661569138163,0.126,-0.08362737157504645,-0.114,-0.041179850574784134,-0.095
MB011B,0.10416666666666667,0.081,0.12679110105580693,0.09,0.13204310219568038,-0.028,0.1914928820377127,0.262,0.2943958278815398,0.243,0.11395496909213806,-0.017,0.1880436943754931,0.166,0.059270298567801,0.201,0.32581410660143795,0.304,-0.34155190420500253,-0.242,-0.05856525440732022,0.104,0.20870493737824275,0.089,0.031564570226220806,-0.051,0.2524108408755487,0.319,0.02034976941813449,0.126,-0.1210148338670439,-0.114,-0.10449791487046786,-0.095
MB011B,0.08333333333333333,0.081,0.10595776772247358,0.09,0.023278389463943786,-0.028,0.07225574813952575,0.262,0.0717673517075584,0.243,0.07443955706730382,-0.017,0.33894403064494577,0.166,-0.04558057023123637,0.201,0.35713300124133407,0.304,-0.2787751395176397,-0.242,0.06133779661202393,0.104,0.28320641663908785,0.089,0.005141966263921615,-0.051,0.26142272080227774,0.319,0.12098065840275365,0.126,-0.4563954386211368,-0.114,-0.41057374027058735,-0.095
MB011B,0.12952488687782804,0.081,0.1159502262443439,0.09,0.015766502819267728,-0.028,0.14707969179999172,0.262,0.091129004661098,0.243,0.17770162357936672,-0.017,0.21246794979509215,0.166,0.07931892829861445,0.201,0.4897004846313469,0.304,-0.15676864958220646,-0.242,0.2703865809056156,0.104,0.22713123264098004,0.089,0.1567299059677716,-0.051,0.4312884562014671,0.319,0.12314536181334435,0.126,-0.27435522549662694,-0.114,-0.24234180301782235,-0.095
MB011B,0.12047511312217196,0.081,0.12047511312217196,0.09,-0.23083049253857263,-0.028,0.3389296684396317,0.262,0.5266666104126494,0.243,-0.23331213125968128,-0.017,0.30447990971247907,0.166,0.24621736854364332,0.201,0.17983208020101166,0.304,-0.1823631146569607,-0.242,-0.23075446106199615,0.104,-0.49218358469539797,0.089,0.005420405206809683,-0.051,0.3555738989381015,0.319,0.0022917768916392955,0.126,0.40525843100261105,-0.114,0.36054322596396177,-0.095
MB011B,0.029883107088989447,0.081,0.029883107088989447,0.09,-0.15020033781409117,-0.028,0.18765862383721793,0.262,0.2811206151095372,0.243,0.07256886142151231,-0.017,0.19729848920385876,0.166,0.2265277611543736,0.201,0.4324786322336405,0.304,-0.49217364284021214,-0.242,-0.17385805640735263,0.104,0.1115684171473342,0.089,0.11120173692693865,-0.051,0.36680118376600457,0.319,0.21466764299195018,0.126,-0.3644100386369852,-0.114,-0.3424952667614331,-0.095
MB011B,0.04619155354449474,0.081,0.04166666666666667,0.09,-0.29917689259427865,-0.028,0.12616981899823151,0.262,0.08481908818295059,0.243,-0.037390345660971505,-0.017,-0.03952547979551748,0.166,0.17020262494194333,0.201,0.2032620186591201,0.304,-0.3066312562963853,-0.242,0.039120057667677004,0.104,-0.001265365838219367,0.089,-0.016619690161168325,-0.051,0.38328463783335043,0.319,0.14461067616644266,0.126,-0.05961275473761785,-0.114,-0.04533943144092348,-0.095
MB011B,0.10774886877828053,0.081,0.09869909502262442,0.09,0.10229396750796452,-0.028,-0.001482483650428057,0.262,0.05225405231053891,0.243,0.00639684930950214,-0.017,-0.10012786985683896,0.166,0.17155844581424645,0.201,0.5821714437836027,0.304,-0.35079337363180707,-0.242,0.12262072059479397,0.104,0.36419428455062336,0.089,-0.21409188888535854,-0.051,0.40402999453673283,0.319,0.28464040116137074,0.126,-0.24723283471553,-0.114,-0.2179389286031352,-0.095
MB011B,0.12047511312217195,0.081,0.10690045248868778,0.09,0.0758705865626165,-0.028,0.49623525111301153,0.262,0.41150871935702626,0.243,0.17006411224570847,-0.017,0.20252515182578515,0.166,0.5588002775624152,0.201,0.1935425489966031,0.304,-0.13870878152883342,-0.242,-0.20302281577796888,0.104,-0.005921712898535233,0.089,0.2199375505208224,-0.051,0.227920447700947,0.319,0.04244562772643053,0.126,0.21135217191137187,-0.114,0.21262390860751249,-0.095
MB011B,0.13763197586726997,0.081,0.1557315233785822,0.09,0.11138373234348431,-0.028,0.2805284694516562,0.262,0.1998547701927599,0.243,0.03874911097798446,-0.017,0.24466665394040343,0.166,0.18584146776882488,0.201,0.03624887676729181,0.304,-0.4729261318262124,-0.242,0.1715577389009316,0.104,0.052080097107181145,0.089,0.07700142707569782,-0.051,0.10457358857738001,0.319,0.09980987519081366,0.126,0.06062513564350907,-0.114,0.06824023498728198,-0.095
MB011B,0.09144042232277529,0.081,0.10049019607843138,0.09,-0.13583156114292527,-0.028,0.1870454310864343,0.262,0.36923094233200876,0.243,-0.05376980134864249,-0.017,0.20419259485670763,0.166,0.2940316335764668,0.201,0.4041134934159825,0.304,-0.19658048382298535,-0.242,0.1684573252601937,0.104,0.19983268810299118,0.089,-0.18808755238995434,-0.051,0.23480131166040977,0.319,0.06330520725968393,0.126,-0.2091626039056066,-0.114,-0.2214283547741752,-0.095
MB011B,0.029883107088989447,0.081,0.01630844645550529,0.09,0.05194471283931234,-0.028,0.12240048708899658,0.262,0.12842011847529666,0.243,-0.18848776348285387,-0.017,0.008986469203536677,0.166,0.00924303231128451,0.201,0.13553197601025616,0.304,-0.1391640718032637,-0.242,0.03986752489577981,0.104,-0.0011909967012047695,0.089,-0.22451211805064744,-0.051,0.08522287740098422,0.319,0.076692932071973,0.126,-0.32633980782706107,-0.114,-0.32932326068532325,-0.095
MB011B,0.04166666666666667,0.081,0.03714177978883862,0.09,-0.0555314571808694,-0.028,0.12063304916026892,0.262,0.18801184493529233,0.243,-0.12455181923203996,-0.017,0.2385738201642718,0.166,0.06761158119987914,0.201,0.40887915739591674,0.304,-0.21244520007345363,-0.242,0.34483081991471715,0.104,0.10653631526718677,0.089,-0.18035803734482783,-0.051,0.38716071271571356,0.319,0.05367039493797801,0.126,-0.30369072802548575,-0.114,-0.2891139789793052,-0.095
MB011B,0.007258672699849186,0.081,0.029883107088989447,0.09,-0.12462674901578451,-0.028,0.1637621416375174,0.262,0.035320781796297766,0.243,-0.03515472563809985,-0.017,0.03967469551609608,0.166,0.12380599852802042,0.201,0.4247178820936066,0.304,-0.45750690408490535,-0.242,-0.0019125580316651852,0.104,0.11767619516088859,0.089,-0.08837997154295257,-0.051,0.3772458470010098,0.319,0.2973738689133112,0.126,-0.35532215422595764,-0.114,-0.36733720804532327,-0.095
MB011B,0.08964932126696833,0.081,0.08059954751131221,0.09,0.17287716855477453,-0.028,0.17232519805141844,0.262,0.32974173890547315,0.243,0.13096306870104213,-0.017,0.07890992034371419,0.166,0.20529290596520935,0.201,0.3147651717169122,0.304,-0.38865671687753983,-0.242,-0.25132447582478307,0.104,0.25368408566363637,0.089,0.09027341212988518,-0.051,0.14995931552506073,0.319,0.24000337326929508,0.126,-0.34336193329123843,-0.114,-0.27499451281701975,-0.095
